#Timestamp	Benchmark	Run(#)	GPU Frequency (MHz)	GPU Temperature(C)	GPU Voltage(V)	GPU Power(W)	inst_executed_cs	sm_inst_executed_texture	sm_inst_executed_global_loads	m_inst_executed_global_stores	threads_launched	gpu_busy	sm_executed_ipc	sm_issued_ipc	l2_write_bytes	l2_read_bytes	sm_active_cycles	sm_active_warps	sm_warps_launched
534 particlefilter 1 537 41 0.820000 1.094200  nan nan nan nan nan nan nan nan nan nan nan nan nan
1067 particlefilter 1 537 42 0.820000 1.079000  nan nan nan nan 1.463821 nan nan nan nan nan nan nan nan
1596 particlefilter 1 537 41 0.820000 1.079000  nan nan nan nan 0.120550 nan nan nan nan nan nan nan nan
2126 particlefilter 1 537 41 0.820000 1.079200  nan nan nan nan 0.120484 nan nan nan nan nan nan nan nan
2657 particlefilter 1 537 41 0.820000 1.079400  nan nan nan nan 0.120372 nan nan nan nan nan nan nan nan
3189 particlefilter 1 537 41 0.820000 1.079200  nan nan nan nan 0.119904 nan nan nan nan nan nan nan nan
3719 particlefilter 1 537 41 0.820000 1.079600  nan nan nan nan 0.120509 nan nan nan nan nan nan nan nan
4254 particlefilter 1 537 41 0.820000 1.079400  nan nan nan nan 0.000000 nan nan nan nan nan nan nan nan
4784 particlefilter 1 537 42 0.820000 1.079400  nan nan nan nan 0.120487 nan nan nan nan nan nan nan nan
5313 particlefilter 1 537 42 0.820000 1.079000  nan nan nan nan 0.120533 nan nan nan nan nan nan nan nan
5844 particlefilter 1 537 41 0.820000 1.080000  nan nan nan nan 0.120187 nan nan nan nan nan nan nan nan
6376 particlefilter 1 537 42 0.820000 1.079000  nan nan nan nan 0.120079 nan nan nan nan nan nan nan nan
6905 particlefilter 1 537 42 0.820000 1.079400  nan nan nan nan 0.120682 nan nan nan nan nan nan nan nan
7435 particlefilter 1 537 42 0.820000 1.079600  nan nan nan nan 0.120506 nan nan nan nan nan nan nan nan
7964 particlefilter 1 537 42 0.820000 1.079200  nan nan nan nan 0.120650 nan nan nan nan nan nan nan nan
8495 particlefilter 1 537 42 0.820000 1.140400  nan nan nan nan 0.120531 nan nan nan nan nan nan nan nan
9024 particlefilter 1 537 41 0.820000 1.079200  nan nan nan nan 0.000000 nan nan nan nan nan nan nan nan
9558 particlefilter 1 537 42 0.820000 1.079400  nan nan nan nan 0.119706 nan nan nan nan nan nan nan nan
10089 particlefilter 1 537 42 0.820000 1.079200  nan nan nan nan 0.120227 nan nan nan nan nan nan nan nan
10619 particlefilter 1 537 42 0.820000 1.079400  nan nan nan nan 0.120425 nan nan nan nan nan nan nan nan
11149 particlefilter 1 537 42 0.820000 1.079200  nan nan nan nan 0.120544 nan nan nan nan nan nan nan nan
11678 particlefilter 1 537 42 0.820000 1.078800  nan nan nan nan 0.000000 nan nan nan nan nan nan nan nan
12206 particlefilter 1 537 42 0.820000 1.079400  nan nan nan nan 0.000000 nan nan nan nan nan nan nan nan
12735 particlefilter 1 537 42 0.820000 1.079600  nan nan nan nan 0.000000 nan nan nan nan nan nan nan nan
13265 particlefilter 1 537 42 0.820000 1.079800  nan nan nan nan 0.000000 nan nan nan nan nan nan nan nan
13793 particlefilter 1 537 42 0.820000 1.079400  nan nan nan nan 0.000000 nan nan nan nan nan nan nan nan
